Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-11-02 17:02:49;"Week B Day 2";"Bench Press (Barbell)";4;115;lbs;8;10;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Squat (Barbell)";1;165;lbs;8;7;;;0;"";;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Squat (Barbell)";2;165;lbs;8;8;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Squat (Barbell)";3;165;lbs;8;9;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Squat (Barbell)";4;165;lbs;8;8;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Overhead Press (Barbell)";1;70;lbs;6;8;;;0;"";;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Overhead Press (Barbell)";2;70;lbs;6;8;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Overhead Press (Barbell)";3;70;lbs;8;;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Overhead Press (Barbell)";4;70;lbs;8;;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Chin Up (Assisted)";1;70;lbs;8;7;;;0;"";;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Chin Up (Assisted)";2;70;lbs;8;7.5;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Chin Up (Assisted)";3;70;lbs;8;;;;0;;;1h 7m
2022-11-02 17:02:49;"Week B Day 2";"Chin Up (Assisted)";4;70;lbs;8;;;;0;;;1h 7m
2022-11-04 13:25:54;"Week B Day 3";"Bench Press (Barbell)";1;115;lbs;8;7.5;;;0;"";"";55m
2022-11-04 13:25:54;"Week B Day 3";"Bench Press (Barbell)";2;115;lbs;8;8;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Bench Press (Barbell)";3;115;lbs;8;8.5;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Bench Press (Barbell)";4;115;lbs;5;10;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Deadlift (Barbell)";1;150;lbs;4;6;;;0;"";;55m
2022-11-04 13:25:54;"Week B Day 3";"Deadlift (Barbell)";2;150;lbs;4;6;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Deadlift (Barbell)";3;150;lbs;4;6;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Deadlift (Barbell)";4;150;lbs;10;8.5;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Overhead Press (Barbell)";1;70;lbs;5;8.5;;;0;"";;55m
2022-11-04 13:25:54;"Week B Day 3";"Overhead Press (Barbell)";2;70;lbs;5;8.5;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Overhead Press (Barbell)";3;70;lbs;5;8.5;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Overhead Press (Barbell)";4;70;lbs;5;10;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Bent Over Row (Barbell)";1;80;lbs;8;8;;;0;"";;55m
2022-11-04 13:25:54;"Week B Day 3";"Bent Over Row (Barbell)";2;80;lbs;8;8;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Bent Over Row (Barbell)";3;80;lbs;8;8.5;;;0;;;55m
2022-11-04 13:25:54;"Week B Day 3";"Bent Over Row (Barbell)";4;80;lbs;8;10;;;0;;;55m
2022-11-07 16:37:24;"Week A Day 1";"Bench Press (Barbell)";1;120;lbs;4;7;;;0;"";"";1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Bench Press (Barbell)";2;120;lbs;4;7;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Bench Press (Barbell)";3;120;lbs;4;7;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Bench Press (Barbell)";4;120;lbs;4;7.5;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Squat (Barbell)";1;165;lbs;8;6;;;0;"";;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Squat (Barbell)";2;165;lbs;8;7;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Squat (Barbell)";3;165;lbs;8;7.5;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Squat (Barbell)";4;165;lbs;8;8;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Overhead Press (Barbell)";1;70;lbs;8;7.5;;;0;"";;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Overhead Press (Barbell)";2;70;lbs;6;8;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Overhead Press (Barbell)";3;70;lbs;6;9;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Overhead Press (Barbell)";4;70;lbs;5;10;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Chin Up (Assisted)";1;70;lbs;8;7;;;0;"";;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Chin Up (Assisted)";2;70;lbs;8;6;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Chin Up (Assisted)";3;70;lbs;8;7;;;0;;;1h 5m
2022-11-07 16:37:24;"Week A Day 1";"Chin Up (Assisted)";4;70;lbs;8;9;;;0;;;1h 5m
2022-11-09 17:36:38;"Week A Day 2";"Bench Press (Barbell)";1;120;lbs;8;8;;;0;"";"";1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bench Press (Barbell)";2;120;lbs;8;8.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bench Press (Barbell)";3;120;lbs;8;10;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bench Press (Barbell)";4;120;lbs;6;10;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Deadlift (Barbell)";1;180;lbs;4;7.5;;;0;"";;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Deadlift (Barbell)";2;180;lbs;4;7.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Deadlift (Barbell)";3;180;lbs;4;7.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Deadlift (Barbell)";4;180;lbs;4;7.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Overhead Press (Barbell)";1;80;lbs;4;8.5;;;0;"";;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Overhead Press (Barbell)";2;70;lbs;7;9;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Overhead Press (Barbell)";3;70;lbs;5;9;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Overhead Press (Barbell)";4;70;lbs;6;9.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bent Over Row (Barbell)";1;90;lbs;8;7.5;;;0;"";;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bent Over Row (Barbell)";2;90;lbs;8;7.5;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bent Over Row (Barbell)";3;90;lbs;8;8;;;0;;;1h 18m
2022-11-09 17:36:38;"Week A Day 2";"Bent Over Row (Barbell)";4;90;lbs;8;10;;;0;;;1h 18m
